row,Region,Avg. temperature,Regional Illnesses,Week of
287,08,59.48694158075602,23,04/15/2023
288,09,67.3422222222222,75,04/15/2023
289,10,51.00084033613445,8,04/15/2023
290,01,50.86417910447762,2,04/08/2023
291,02,59.31807228915663,4,04/08/2023
292,03,69.6031802120142,31,04/08/2023
293,04,76.26236413043468,56,04/08/2023
294,05,54.61335877862592,7,04/08/2023
295,06,74.5176938369782,35,04/08/2023
296,07,62.67548543689319,57,04/08/2023
297,08,40.8048109965636,14,04/08/2023
298,09,55.96444444444447,24,04/08/2023
299,10,43.868067226890766,8,04/08/2023
300,01,45.250746268656705,1,04/01/2023
301,02,48.839759036144585,8,04/01/2023
302,03,60.7982332155477,4,04/01/2023
303,04,72.82853260869568,36,04/01/2023
304,05,48.75343511450372,4,04/01/2023
305,06,71.77892644135186,13,04/01/2023
306,07,54.8422330097087,0,04/01/2023
307,08,34.71924398625432,0,04/01/2023
308,09,52.24111111111112,13,04/01/2023
309,10,43.098319327731076,5,04/01/2023
310,01,46.47910447761196,4,03/25/2023
311,02,48.96265060240963,5,03/25/2023
312,03,56.57243816254419,7,03/25/2023
313,04,63.740760869565264,28,03/25/2023
314,05,43.66469465648855,4,03/25/2023
315,06,66.06660039761435,19,03/25/2023
316,07,49.76699029126215,0,03/25/2023
317,08,37.17250859106527,7,03/25/2023
318,09,52.411111111111104,5,03/25/2023
319,10,46.86638655462186,6,03/25/2023
320,01,42.132835820895515,2,03/18/2023
321,02,41.90602409638554,7,03/18/2023
322,03,47.163250883392195,3,03/18/2023
323,04,59.46222826086955,14,03/18/2023
324,05,38.97614503816797,2,03/18/2023
325,06,64.82644135188869,4,03/18/2023
326,07,45.15558252427189,0,03/18/2023
327,08,35.41890034364266,5,03/18/2023
328,09,56.484444444444456,9,03/18/2023
329,10,44.904201680672266,9,03/18/2023
330,01,40.30447761194029,3,03/11/2023
331,02,40.972289156626516,6,03/11/2023
332,03,53.67985865724387,4,03/11/2023
333,04,69.59429347826081,23,03/11/2023
334,05,45.21927480916027,2,03/11/2023
335,06,71.52524850894633,17,03/11/2023
336,07,47.302669902912626,0,03/11/2023
337,08,31.38384879725084,5,03/11/2023
338,09,49.968888888888905,6,03/11/2023
339,10,37.96302521008404,5,03/11/2023
340,01,32.855223880597016,4,03/04/2023
